"date","hits","keyword","geo","time","gprop","category"
2017-04-30,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-05-07,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-05-14,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-05-21,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-05-28,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-06-04,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-06-11,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-06-18,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-06-25,9,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-07-02,9,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-07-09,10,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-07-16,9,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-07-23,9,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-07-30,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-08-06,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-08-13,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-08-20,9,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-08-27,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-09-03,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-09-10,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-09-17,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-09-24,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-10-01,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-10-08,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-10-15,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-10-22,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-10-29,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-11-05,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-11-12,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-11-19,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-11-26,9,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-12-03,7,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-12-10,10,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-12-17,9,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-12-24,9,"broadband internet","US","2015-01-01 2019-12-31","web",0
2017-12-31,8,"broadband internet","US","2015-01-01 2019-12-31","web",0
